feature_name,feature_tag,Name,Address,Latitude,Longitude,Location (CS),State,Nearest(poi)
mixstore,convenience_store,MiX Store @ Pudu,"G-01, D’MAJESTIC, 376, Jalan Pudu 55100 KUALA LUMPUR.",3.1306709,101.6683653,Pudu,,"['SK Bukit Pantai', ""Children's House"", 'Vincenzo Ristorante Italiano']"
mixstore,convenience_store,MiX Store @ Bukit Jalil,"F3-1, Pusat Bandar,Bukit Jalil,Jalan Persiaran Jalil 1, 57000 Kuala Lumpur.",3.051939,101.6692463,Bukit Jalil,Kuala Lumpur,"['Bukit Jalil Nursery', 'Taman Puncak Jalil', 'PETRONAS Bukit Jalil']"
mixstore,convenience_store,MiX Store @ Kuchai Lama,"No.19, Jalan Kuchai Maju 18, Kuchai Entrepreneurs Park, 58200, Kuala Lumpur",3.091042,101.6876083,Kuchai Lama,Kuala Lumpur,"['紫轩阁保健休闲中心', 'Sensorlink', '爸爸辣辣 Babalala']"
mixstore,convenience_store,MiX Store @ Desa Park City (Plaza Arkadia),"G-G-7 Plaza Arkadia, No 3, Jalan Intisari Perdana, Desa Parkcity 52200 Kuala Lumpur",3.185316,101.6332493,Desa Park City (Plaza Arkadia),Kuala Lumpur,"['ParkCity Soccer Field', 'Innbar 壹霸 Arkadia', 'Desa ParkCity Safa Carnival']"
mixstore,convenience_store,MiX Store @ Solaris Mont Kiara,"NO. 18, JALAN SOLARIS 3, SOLARIS MONT KIARA, 50480 Kuala Lumpur.",3.175069,101.6571683,Solaris Mont Kiara,Kuala Lumpur,"['Wedgewood Residences', 'Lumina Kiara', 'Soulful Celebrities Club']"
mixstore,convenience_store,MiX Store @ Taman Segar Cheras,"No.39 , Jalan Manis 3,Taman Segar Cheras 56100,Kuala Lumpur",3.089787,101.7431382,Taman Segar Cheras,Kuala Lumpur,"['99 Speedmart', 'Hung Di Auto Service']"
mixstore,convenience_store,MiX Store @ Kepong Taman Usahawan,"No.22, Jalan Metro Perdana Barat 2, Taman Usahawan Kepong, 52100 .Kuala Lumpur",3.2154375,101.6409788,Kepong Taman Usahawan,Kuala Lumpur,"['九龙冰室', 'MyWax Grooming Centre']"
mixstore,convenience_store,MiX Store @ Setapak,"No.40.Plaza Usahawan, Genting Klang, Jalan Danau Niaga 1, Taman Danau Kota, 53300 Kuala Lumpur",3.201854,101.7171237,Setapak,Kuala Lumpur,"['Zaara@Platinum Dental Clinic', 'VAPEMPIRE', 'Restoran Nasi Kandar Utara']"
mixstore,convenience_store,MiX Store @ Taman Bunga Raya,"No 9,Jalan Malinja 2, Taman Bunga Raya, Setapak 53300 Kuala Lumpur.",3.201854,101.7171237,Taman Bunga Raya,Kuala Lumpur,"['Zaara@Platinum Dental Clinic', 'VAPEMPIRE', 'Restoran Nasi Kandar Utara']"
mixstore,convenience_store,MiX Flagship Store @ IOI City Mall Putrajaya👑,"Lot L1-34,35,36 East Wing IOI City Tower Two Lebuh IRC, IOI Resort, 62502 Putrajaya, Selangor.",none,none,IOI City Mall Putrajaya👑,Selangor,none
mixstore,convenience_store,MiX Store @ One Utama,"LG308D, Lower Ground Floor, Bandar Utama City Centre No1, Lebuh Bandar Raya Utama, 47800 Petaling Jaya, Selangor",none,none,One Utama,Selangor,none
mixstore,convenience_store,MiX Store @ Sunway Pyramid,"LG2－2.62, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia",3.0727878,101.6053642,Sunway Pyramid,Selangor,"['Restoran Mr Roti Canai', 'H&M', 'Mizudo Hotpot']"
mixstore,convenience_store,MiX Store @ IOI Mall Puchong,"Lot G38A & G38C, Batu 9, Jalan Puchong, 47100 Bandar Puchong Jaya, Selangor.",3.0457012,101.6161214,IOI Mall Puchong,Selangor,"['Macy', 'Oiso', ""Swensen's IOI Mall""]"
