feature_name,feature_tag,Name,Address,Latitude,Longitude
99 Speedmart,convenience_store,11114 - (SBH) Polytechnic Commercial Centre,"Lot No. 22, Block A-4, Ground Floor, Polytechnic Commercial Centre, Phase 1, Kota Kinabalu Industrial Park, Off Sulaman Highway 88460 Sabah.",6.093883,116.158038
99 Speedmart,convenience_store,1112 - Taman Sentosa Perdana,"No. 2(G), Jalan Temenggung 15/ KS 7, Off Sg. Jati,Taman Sentosa Perdana, 41200 Klang, Selangor Darul Ehsan.",3.005452,101.483254
99 Speedmart,convenience_store,1113 - Damansara Damai 2,"Q-003 & Q-003A,  Jalan PJU 10/2B,  Damansara Damai,47830 Petaling Jaya,  Selangor Darul Ehsan.",3.19606,101.593546
99 Speedmart,convenience_store,1114 - Taman Wawasan Puchong,"No.40, 42 & 44,Jalan Wawasan 5/2,Pusat Bandar Puchong,47100 Puchong,Selangor Darul Ehsan.",3.025059,101.628329
99 Speedmart,convenience_store,1115 - Sunway MAS,"No: 22-1 & 22A-1 (Ground Floor),  Jalan PJU 1/3A,  SunwayMas Commercial Centre,47301 Petaling Jaya,  Selangor Darul Ehsan.",3.120547,101.599018
99 Speedmart,convenience_store,1116 - Taman Putra Perdana,"No.2,Jalan Putra Perdana 2/3,Taman Putra Perdana,47100 Puchong,Selangor Darul Ehsan.",2.947262,101.618597
99 Speedmart,convenience_store,1117 - Bandar Puchong Jaya,"No.16(Ground Floor),Jalan Tempua 2A,Bandar Puchong Jaya,47100 Puchong,Selangor Darul Ehsan.",3.042169,101.623909
99 Speedmart,convenience_store,1118 - Sri Andalas 2,"No. 1(G), Jalan Sri Damak 17, Kawasan 2 Taman Sri Andalas, 41200 Klang, Selangor Darul Ehsan.",3.021695,101.450949
99 Speedmart,convenience_store,1119 - Shah Alam Sek 27,"No.35 & 37 (Ground Floor), Jalan Teras Jernang 27/8, Taman Bunga Negara, Seksyen 27, 40400 Shah Alam, Selangor Darul Ehsan.",,
99 Speedmart,convenience_store,1120 - Taman Kajang Indah,"No.1 (G) ,Jalan Kajang Indah 1, Taman Kajang Indah, Sungai Chua, 43000 Kajang, Selangor Darul Ehsan.",2.98367,101.779584
99 Speedmart,convenience_store,1121 - Desa Business Park,"No.1 & 3(Ground Floor), Jalan 109E, Desa Business Park, Taman Desa, 58100 Kuala Lumpur.",3.097579,101.677133
99 Speedmart,convenience_store,11214 - (SBH) Universiti Plaza,"Unit No. 31 & 32 (G), Block 3, Universiti Plaza, Jln  Sulaman, Menggatal, 88450 Kota Kinabalu, Sabah.",6.043207,116.147749
