feature_name,feature_tag,Name,Address,Longitude,Latitude
mynews,convenience_store,myNEWS (Maru Kafe) @ Jalan Stadium Kedah,"NO 1959-C (GF), JALAN STADIUM, 05100, ALOR SETAR, KEDAH DARUL AMAN","",""
mynews,convenience_store,myNEWS (Maru Kafe) @ Kedah Medical Center (G Floor),"CONVENIENCE SHOP LOT (GF) KEDAH MEDICAL CENTRE, JLN ANAK BUKIT KAMPUNG PUMPONG",100.369347,6.149005
mynews,convenience_store,myNEWS (Maru Kafe) @ Pantai Hospital Laguna Merbok (G Floor),"PANTAI HOSPITAL LAGUNA MERBOK NO. 1, LORONG BLM 1/10 BANDAR LAGUNA MERBOK",100.494653,5.683294
mynews,convenience_store,myNEWS (Maru Kafe) @ Pantai Hospital Sungai Petani (G Floor),"PANTAI HOSPITAL SUNGAI PETANI - CONVENIENCE SHOP NO. 1, PERSIARAN CEMPAKA, BANDAR AMANJAYA",100.513116,5.672511
mynews,convenience_store,myNEWS (Maru Kafe) @ Pekan Simpang Alor Setar,"NO. 57 (GF), JALAN PSK 1 @ JALAN UTAMA, SIMPANG KUALA PEKAN SIMPANG KUALA",100.364034,6.100528
mynews,convenience_store, myNEWS (Maru Kafe) @ Taman Pekan Baru Sungai Pertani,"NO. 200 (GF), JALAN MAWAR 3/2 TAMAN PEKAN BARU",100.4821933,5.641071116
mynews,convenience_store,myNEWS @ TF Value Mall Sg Petani (G Floor) ,"LOT A16, TF VALUE MART SG PETANI, JALAN LENCONGAN BARAT",100.472606,5.615623
mynews,convenience_store,myNEWS (Maru Kafe) @ Uum Sintok,"Ruangan Perniagaan SEFB, UUM Sintok, Changlun","", 
mynews,convenience_store,myNEWS @ 1 Mont Kiara (LG Floor),"UNIT LG-11, LOWER GROUND FLOOR, ONE MONT KIARA, NO. 1, JALAN KIARA",101.6531723,3.1657103
mynews,convenience_store,myNEWS (Maru Kafe) @ 163 Retail Park (LG Floor),"LG1-18, LOWER GROUND 1 163 RETAIL PARK NO. 8 JALAN KIARA, MONT KIARA",101.652394,3.166772
mynews,convenience_store,myNEWS (Maru Kafe) @ 231TR Serviced Suites (G Floor) ,"LOT G-02, 231TR SERVICED SUITES, JALAN TUN RAZAK",101.7221526,3.1471447
mynews,convenience_store,myNEWS @ AEON Taman Maluri (B2 Floor) ,"LOT B203, AEON TAMAN MALURI SHOPPING CENTRE JALAN JEJAKA TAMAN MALURI CHERAS",101.728666,3.125961
mynews,convenience_store,myNEWS (Maru Kafe) @ AEON Taman Maluri (G Floor),"LOT G01, AEON TAMAN MALURI SHOPPING CENTRE JALAN JEJAKA TAMAN MALURI CHERAS",101.728402,3.126251
mynews,convenience_store,myNEWS (Maru Kafe) @ Aman Walk (G Floor),"UNIT NO. C-0G-01 & C-0B-01, GF & BASEMENT, AMAN WALK, MONT KIARA AMAN, NO. 4 JALAN KIARA 2, MONT KIARA",101.6560029,3.1728028
mynews,convenience_store,myNEWS (Maru Kafe) @ Ara Kiri Lucky Garden,NO. 32 (GROUND FLOOR) PERSIARAN ARA KIRI LUCKY GARDEN,101.6701682,3.128044035
mynews,convenience_store,myNEWS (Maru Kafe) @ Arcoris Plaza (G Floor),"LOT G-3 & G-3A ARCORIS PLAZA JALAN KIARA, MONT KIARA",101.6515129,3.166583896
mynews,convenience_store,myNEWS @ Ascott KL (Lobby Floor),"AREA A & B, LOBBY AREA, ASCOTT KUALA LUMPUR, NO. 9, JALAN PINANG",101.7106996,3.1548153
mynews,convenience_store,myNEWS @ Ativo Plaza (G Floor),"LOT A-G-5, ATIVO PLAZA, BLOCK A, NO. 1, JALAN PJU 9/1, DAMANSARA AVENUE, BANDAR SRI DAMANSARA",101.61276,3.20074
mynews,convenience_store,myNEWS @ Axiata Tower (G Floor) ,"LEVEL 1 (GF), AXIATA TOWER, QUILL 7, NO. 9, JALAN STESEN SENTRAL 5",101.6847996,3.1338794
mynews,convenience_store,myNEWS (Maru Kafe) @ Bandar Sri Permaisuri,"NO. 26, JALAN DWITASIK 2 BANDAR SRI PERMAISURI CHERAS",101.713035,3.1000102
mynews,convenience_store,myNEWS @ Bangsar Shopping Center (LG Floor),"LOT KIOSK 2, LG FLOOR, BANGSAR SHOPPING CENTRE, 285, JALAN MAAROF, BUKIT BANDARAYA",101.6674161,3.1427983
mynews,convenience_store,myNEWS (Maru Kafe) @ Bangunan Plaza PPUM,"RUANG NIAGA DI HENTIAN TEKSI PLAZA, BANGUNAN PLAZA PUSAT PERUBATAN UNIVERSITI MALAYA PPUM (UTARA)","",""
mynews,convenience_store,myNEWS @ Bangsar Village (LG Floor),"LG 12, BANGSAR VILLAGE, NO 1, JALAN TELAWI 1, BANGSAR BARU",101.6707564,3.1296713
mynews,convenience_store,myNEWS @ Binjai 8 Serviced Suite (G Floor) ,"G-02, PANGSAPURI SERVIS (SUITE) BINJAI 8, NO. 2, LORONG BINJAI,",101.717411,3.1588241
mynews,convenience_store,myNEWS @ Block A Plaza Damas (Ground Floor),"BLOCK A-0-18, PLAZA DAMAS 3, NO. 63, JALAN SRI HARTAMAS 1, TAMAN SRI HARTAMAS",101.6560653,3.1628443
mynews,convenience_store,myNEWS (Maru Kafe) @ Block F Plaza Damas (Ground Floor),"F-0-1, BLOCK F, PLAZA DAMAS, NO. 60, JALAN SRI HARTAMAS,",101.656944,3.162584
mynews,convenience_store,myNEWS (Maru Kafe) @ Bukit Bintang,"GROUND FLOOR 140 & 142, JALAN BUKIT BINTANG,",101.7118309,3.1474252
mynews,convenience_store,SUPERVALUE @ Bukit OUG,"LOT 9 & 11, GROUND FLOOR JALAN 6/155 BUKIT OUG INTEGRATED BUSINESS PARK",101.6646759,3.06220587
mynews,convenience_store,myNEWS (Maru Kafe) @ Cap Square KL (G Floor),"UNIT GF.02, LEVEL GROUND, NO. 8, JALAN MUNSHI ABDULLAH,",101.6993237,3.1551978
mynews,convenience_store,myNEWS (Maru Kafe) @ Centrepoint South Mid Valley (Lobby Level),"SUITE 1.01, LOBBY LEVEL CENTREPOINT SOUTH, MID VALLEY CITY LINGKARAN SYED PUTRA",101.676817,3.118186
mynews,convenience_store,myNEWS @ Centrio (G Floor),"LOT 1-6, GROUND FLOOR CENTRIO, NO. 1, JALAN PANTAI MURNI, PANTAI HILLPARK",101.6659579,3.1073792
mynews,convenience_store,SUPERVALUE @ Cheras Business Center (G Floor),"NO. 20-0-7, JALAN 2/101C, CHERAS BUSINESS CENTRE",101.73959,3.09935
mynews,convenience_store,myNEWS @ Cheras Business Centre,"66-G JALAN 5/101C, OFF JALAN KASKAS, JALAN CHERAS",101.7390203,3.0999355
mynews,convenience_store,myNEWS (Maru Kafe) @ Crown Regency Serviced Suites (G Floor),"ISLAND AREA, GF, CROWN REGENCY SERVICED SUITES, NO. 12, JALAN P. RAMLEE",101.708213,3.155059
mynews,convenience_store,myNEWS @ Dataran Jelatek (G Floor) ,"UNIT G-01, GROUND FLOOR, DATARAN JELATEK, JALAN JELATEK",101.7349526,3.1752508
mynews,convenience_store,myNEWS (Maru Kafe) @ DC Mall (G Floor),"LOT G-03A, GF, DC MALL, PLAZA DC, DAMANSARA CITY, 6, JALAN DAMANLELA",101.6615483,3.146673
mynews,convenience_store,myNEWS @ Desa Sri Hartamas,"NO. 68, JALAN 27/70A NO. 68, JALAN 27/70A, DESA SRI HARTAMAS",101.65,3.16342
mynews,convenience_store,SUPERVALUE @ Eco Sky Commercial Building (1st Floor),"UNIT 23A-1, LEVEL 1, ECO SKY COMMERCIAL BUILDING, JALAN IPOH",101.6712321,3.219069886
mynews,convenience_store,myNEWS @ EkoCheras Mall (LG Floor),"M-LG-27, EKOCHERAS MALL NO. 693, BATU 5 JALAN CHERAS",101.738924,3.093042
mynews,convenience_store,myNEWS (Maru Kafe) @ Endah Promenade (G Floor),"A-G-02, ENDAH PROMENADE NO. 5, JALAN 3/149E TAMAN SRI ENDAH, SRI PETALING",101.6969965,3.0637911
mynews,convenience_store,myNEWS @ Etiqa Twins (1st Floor) ,"LOT 1.2, LEVEL 1, ETIQA TWINS, 11, JALAN PINANG",101.7111936,3.1542623
mynews,convenience_store,myNEWS @ Faber Towers (G Floor),"LOT G-OS-6, GF, PODIUM BLOCK, FABER TOWERS, JALAN DESA BAHAGIA, TAMAN DESA",101.6848981,3.1022894
mynews,convenience_store,myNEWS @ Four Seasons Place KL (B1 Floor) ,"LOT B1-20, BASEMENT 1, SHOPPES AT FOUR SEASONS PLACE KUALA LUMPUR FOUR SEASONS PLACE KL, NO. 145, JALAN AMPANG",101.713741,3.157756433
mynews,convenience_store,myNEWS (Maru Kafe) @ Hospital UKM (Lobby Floor),LOT 01 LOBI PELAWAT HOSPITAL CANSELOR TUANKU MUHRIZ (HCTM UKM KAMPUS,101.725337,3.099471
mynews,convenience_store,myNEWS @ HP Tower (G Floor),"LOT G-05, GF, CONNECTING PODIUM, HP TOWER, NO. 12, JALAN GELENGGANG, BUKIT DAMANSARA",101.663855,3.151475
mynews,convenience_store,myNEWS @ Ilham Tower (G Floor) ,"GROUND FLOOR, ILHAM TOWER, NO. 8, JALAN BINJAI",101.7185135,3.159057
mynews,convenience_store,myNEWS @ Institut Jantung Negara (G Floor) ,"LOT NO. 14, GROUND FL INSTITUT JANTUNG NEGARA, 145, JALAN TUN RAZAK",101.7094247,3.1699993
mynews,convenience_store,myNEWS (Maru Kafe) @ Intermark Mall (Concourse),"LOT C-16 & C-17, CONCOURSE LEVEL, INTERMARK MALL, 348, JALAN TUN RAZAK",101.720344,3.164431
mynews,convenience_store,myNEWS @ J. Dupion Residences (G Floor),"LOT 01-05, J. DUPION RESIDENCES JALAN SEMBILANG TAMAN TENAGA",101.726945,3.113656
mynews,convenience_store,myNEWS (Maru Kafe) @ Jalan Aminuddin Baki TTDI,"NO. 165, GROUND FLOOR JALAN AMINUDDIN BAKI TAMAN TUN DR ISMIL",101.622684,3.153563
mynews,convenience_store,myNEWS (Maru Kafe) @ Jalan Solaris 3,NO. 7 (GROUND FLOOR) JALAN SOLARIS 3 SOLARIS MONT KIARA,101.659574,3.174702
mynews,convenience_store,myNEWS @ KL Convention Centre (Concourse),"LOT C14, COUNCOURSE LEVEL, KUALA LUMPUR CONVENTION CENTRE, KUALA LUMPUR CITY CENTRE",101.7131965,3.1536674
mynews,convenience_store,myNEWS (Maru Kafe) @ KL East Mall (LG Floor),"LOT LG-41, LOWER GROUND FLOOR KL EAST MALL, 823 JLN LINGKARAN TENGAH 2 KL TIMUR",101.730372,3.224811
mynews,convenience_store,myNEWS (Maru Kafe) @ KL Eco City Mall (UG Level) ,"LOT UG-16, KL ECO CITY MALL PANTAI BARU, JALAN BANGSAR",101.676049,3.132387
mynews,convenience_store,myNEWS @ KL Ecocity Mall (UG Floor) ,"LOT UG-02, KL ECOCITY MALL PANTAI BARU, JALAN BANGSAR",101.67414,3.116278
mynews,convenience_store,myNEWS @ KL Gateway (LG1 Floor),"LG1-03, PUSAT BELI BELAH KL GATEWAY, NO. 2, JALAN KERINCHI, GERBANG KERINCHI LESTARI",101.6628453,3.1135471
mynews,convenience_store,myNEWS (Maru Kafe) @ KL Gateway (LG2 Floor) ,"LG2-05, PUSAT BELI BELAH KL GATEWAY, NO. 2, JALAN KERINCHI, GERBANG KERINCHI LESTARI",101.6629931,3.113744
mynews,convenience_store,myNEWS @ KL Sentral (1st Floor) (1),"S192, LEVEL 1, KL SENTRAL STATION",101.686385,3.134632
mynews,convenience_store,myNEWS (Maru Kafe) @ KL Sentral (1st Floor) (2),"SPACE NO. 21210, 1211 & 1212, LEVEL 1, KL SENTRAL STATION",101.6859478,3.1343519
mynews,convenience_store,myNEWS (Maru Kafe) @ Komplex Pertama (G Floor),"KIOSK NO. 1, SIARKAKI HADAPAN DI KOMPLEKS PERTAMA JALAN TUANKU ABDUL RAHMAN",101.6968982,3.157511181
mynews,convenience_store,myNEWS @ KTM Abdullah Hukum,"KIOSK 3, PLATFORM 1 STESEN KOMUTER ABDULLAH HUKUM",101.6729,3.1187
mynews,convenience_store,myNEWS (Maru Kafe) @ KTM Bank Negara,SEBAHAGIAN RUANG STESEN KERETAPI BANK NEGARA,101.693165,3.154912
mynews,convenience_store,myNEWS @ KTM Mid Valley ,"STESEN KOMUTER MID VALLEY, LINGKARAN SYED PUTRA",101.6786111,3.1186111
mynews,convenience_store,myNEWS @ Kuchai Enterpreneurs Park,"NO. 26-G FLOOR, JALAN KUCHAI MAJU 11 KUCHAI ENTREPRENEURS PARK",101.6893548,3.0901485
mynews,convenience_store,SUPERVALUE @ Lakeville Residence (G Floor),"G-06, LAKEVILLE RESIDENCE, JALAN SIBU TAMAN WAHYU, MUKIM BATU",101.668798,3.209948
mynews,convenience_store,SUPERVALUE @ Laman Rimbunan Kepong,"NO. 66G & 68G, JALAN RIMBUNAN RAYA LAMAN RIMBUNAN KEPONG",101.6499008,3.2117228
mynews,convenience_store,myNEWS @ LRT Abdullah Hukum,"N1, STESEN LRT ABDULLAH HUKUM, JALAN BANGSAR",101.67291,3.11865
mynews,convenience_store,myNEWS @ LRT Ampang,"S1, STREET LEVEL, STESEN STAR LRT AMPANG, 5, JALAN AMPANG",101.7601652,3.1505907
mynews,convenience_store,myNEWS (Maru Kafe) @ LRT Ampang Park,"AMPANG PARK STATION (UNDERGROUND), JALAN AMPANG",101.7194545,3.1597351
mynews,convenience_store,myNEWS @ LRT Bandar Tun Razak,"BANDAR TUN RAZAK STATION (AMPANG LINE), STESYEN STAR-LRT BDR. TUN RAZAK",101.695674,3.14926
mynews,convenience_store,myNEWS (Maru Kafe) @ LRT Bangsar,"STESEN LRT BANGSAR, LOT 349, JALAN & JALAN BANGSAR, SEKSYEN 96",101.679062,3.127588
mynews,convenience_store,myNEWS @ LRT Cempaka ,"STESEN STAR-LRT CEMPAKA, JALAN PANDAN INDAH 23, PANDAH INDAH, AMPANG",101.7529654,3.1382768
mynews,convenience_store,myNEWS @ LRT Dang Wangi,"DANG WANGI STATION, JALAN AMPANG",101.703,3.1562105
mynews,convenience_store,myNEWS (Maru Kafe) @ LRT Jelatek,"STESEN LRT JELATEK, N2, STESEN LRT JELATEK JALAN JELATEK, AU1",101.73535,3.16734
mynews,convenience_store,myNEWS @ LRT Masjid Jamek,"MASJID JAMEK STATION (AMPANG LINE), STESYEN STAR-LRT MASJID JAMEK JALAN TUN PERAK",101.695642,3.1489493
mynews,convenience_store,myNEWS (Maru Kafe) @ LRT Masjid Jamek,"LOT NO. 4, STESEN LRT MASJID JAMEK, JALAN MELAKA",101.6963272,3.150222632
mynews,convenience_store,myNEWS @ LRT Pasar Seni ,"STATION PASAR SENI, JALAN SULTAN MUHAMED",101.694745,3.14287
mynews,convenience_store,myNEWS @ LRT Plaza Rakyat,"STESEN STAR-LRT PLAZA RAKYAT, BANGUNAN PLAZA RAKYAT, JALAN PUDU",101.70293,3.1446
mynews,convenience_store,myNEWS @ LRT PWTC,"LOT NO. K1, STESEN LRT PWTC, S15, JALAN PUTRA, CHOW KIT",101.6935757,3.1666431
mynews,convenience_store,myNEWS @ LRT Sentul Timur ,"STESYEN LRT SENTUL TIMUR, JALAN 2/48A, BANDAR BARU SENTUL",101.6954291,3.1858835
mynews,convenience_store,myNEWS @ LRT Sri Rampai ,"STESEN LRT SRI RAMPAI, JALAN WANGSA PERDANA 1, WANGSA MAJU",101.737531,3.198869
mynews,convenience_store,myNEWS @ LRT Taman Melati ,"STESEN LRT TAMAN MELATI, LOT 5502, JALAN TUMBUHAN",101.72183,3.21957
mynews,convenience_store,myNEWS @ LRT Wangsa Maju ,"STESEN LRT WANGSA MAJU, JALAN 1/27A",101.73173,3.20583
