feature_name,feature_tag,Name,Address,Latitude,Longitude,Location,Nearest(poi)
familymart,convenience_store,FAMILYMART @Jalan Malinja 2,"No.17, Jalan Malinja 2, Taman Bunga Raya, 53000 Kuala Lumpur",3.07114,101.694901,Jalan Malinja 2,"['Sushi Hiro', 'Tealive', 'Lim & Partners Dental Clinic']"
familymart,convenience_store,FAMILYMART @UCSI Heights (Taman Connaught),"Lobby, Level 1, Block A, UCSI University, No 1, Jalan Menara Gading, UCSI Heights (Taman Connaught), 56000 Cheras, Kuala Lumpur",3.07114,101.694901,UCSI Heights (Taman Connaught),"['Sushi Hiro', 'Tealive', 'Lim & Partners Dental Clinic']"
familymart,convenience_store,FAMILYMART @Bandar Sri Petaling,"No 75G, Jalan Radin Bagus, Bandar Sri Petaling, 57000, Kuala Lumpur",3.07114,101.694901,Bandar Sri Petaling,"['Sushi Hiro', 'Tealive', 'Lim & Partners Dental Clinic']"
familymart,convenience_store,FAMILYMART @No 8,"Unit UG-3, Level UG, The Sphere, No 1, Avenue 1, Bangsar South, No 8, Jalan Kerinchi, 59200 Kuala Lumpur",3.11075,101.667795,No 8,"['Nyonya Tingkat Signature', 'Good Meals', 'Family Mart']"
familymart,convenience_store,FAMILYMART @Jalan Danau Niaga,"No. 6 Plaza Usahawan Genting Klang (Plaza Crystalville), Jalan Danau Niaga, Taman Danau Kota, 53300 Kuala Lumpur",3.202604,101.717058,Jalan Danau Niaga,"[""7 Day's Hotel"", 'PV15 Bus Stop', 'Watsons Plaza Crystalville']"
familymart,convenience_store,FAMILYMART @Bandar Puteri,"No 18, Jalan Puteri 1/2, Bandar Puteri, 47100 Puchong, Selangor",3.026259,101.616041,Bandar Puteri,"['Big Bath', 'Got It Stationery', 'Family Mart Bandar Puteri']"
familymart,convenience_store,FAMILYMART @Damansara Jaya,"No. 51, Jalan SS22/19, Damansara Jaya, 47400 Petaling Jaya, Selangor",3.126929,101.615394,Damansara Jaya,"['Aster Spring', 'Inside Scoop', 'Familymart Damansara Jaya']"
familymart,convenience_store,FAMILYMART @Jalan USJ 10/1,"No.33, Jalan USJ 10/1, UEP Subang Jaya, 47620 Selangor",3.047813,101.584693,Jalan USJ 10/1,"['Restoran Hassan Ayam Kampung', '寵物美容專店 (Lee Pet Supply)', 'Taipan Florist']"
familymart,convenience_store,FAMILYMART @Jalan Tun Abdul Aziz,"No.26 (Ground floor), Jalan Tun Abdul Aziz, 43000 Kajang, Selangor",2.991566,101.791193,Jalan Tun Abdul Aziz,"[""McDonald's"", 'Dental Care Centre', 'Family Mart']"
familymart,convenience_store,FAMILYMART @Desa Sri Hartamas,"28(Ground Floor), Jalan 24/70A, Desa Sri Hartamas, 50480, Kuala Lumpur",3.162731,101.650723,Desa Sri Hartamas,"[""BURNIN' PIT"", 'Balai Bomba Dan Penyelamat', 'Shin Nihon 新日本焼肉党']"
familymart,convenience_store,FAMILYMART @Bandar Sg Long,"No 16, Jalan SL 1/2,  Bandar Sg Long, 43000 Kajang, Selangor",3.040203,101.793816,Bandar Sg Long,"['Kerry Trading', 'Face to Face Noodle House (面对面板面专卖点)', 'MZ Food Corner']"
familymart,convenience_store,FAMILYMART @43000 Kajang,"No. 13 Jalan 14/20, Petaling Jaya, 46100 Selangor Darul Ehsan",3.109568,101.636393,43000 Kajang,"['Joo Hua', 'Family Mart', 'Singwa Watch']"
familymart,convenience_store,FAMILYMART @Dataran C180,"31-G, Jalan C180/1, Dataran C180, 43200 Cheras, Selangor Darul Ehsan",3.035811,101.765777,Dataran C180,"['Family Mart', 'Empress Reflexology', 'Super Junior Family Karaoke']"
familymart,convenience_store,FAMILYMART @Jalan Rimbunan Raya 1,"No.143, (Ground Floor), Jalan Rimbunan Raya 1, Laman Rimbunan Kepong, 52100 Kuala Lumpur",3.211236,101.649664,Jalan Rimbunan Raya 1,"['Wolfgang Cafe 大野狼', '\ue01b1WorldTINTING\ue132', '香港仔车仔面']"
familymart,convenience_store,FAMILYMART @Sek U13,"22-1-1, Jalan Setia Prima B U13/B, Sek U13, Setia Alam, 40170 Shah Alam",3.096796,101.445755,Sek U13,"['FamilyMart', 'FnC 中国风', 'Uncle Samad Dobi']"
familymart,convenience_store,FAMILYMART @Seksyen 31,"No.29-G, Jalan Anggerik Vanilla X 31/X, Kota Kemuning, Seksyen 31, 40460 Shah Alam, Selangor",3.004821,101.534578,Seksyen 31,"['Health Lane Family Pharmacy', 'Family Mart', 'Klinik Pergigian Shiny']"
familymart,convenience_store,FAMILYMART @Taman Maluri,"No.267, Jalan Mahkota, Taman Maluri, Cheras, 55100 Kuala Lumpur",3.129597,101.731705,Taman Maluri,"['Family Mart', 'Klinik Ng And Lee', '心雨中日素食料理']"
familymart,convenience_store,FAMILYMART @Kota Damansara,"Lot G12, Sunway Giza Mall, No.2, Jalan PJU 5/14, PJU 5, Kota Damansara, 47810 Petaling Jaya, Selangor",3.150886,101.591636,Kota Damansara,"['Just Seafood', 'Wenawave', 'Camera Valley']"
familymart,convenience_store,FAMILYMART @Jalan PJU 1A/7A,"R-13, Ara Damansara, Oasis Square, No. 2, Jalan PJU 1A/7A, Petaling Jaya, 47301 Selangor",3.113361,101.575445,Jalan PJU 1A/7A,"['海底捞火锅 Haidilao Malaysia (Office)', 'Bank Islam (Ara Damansara)', 'Chiropractic Speciality Centre']"
familymart,convenience_store,FAMILYMART @Cyber12,"Lot-21B, Dpulze, Lingkaran Cyber Point Timur, Cyber12, 63000 Cyberjaya, Selangor",2.921855,101.651211,Cyber12,"['Boat Noodle', ""Jasmina Collection D'Pulze"", 'Campur Campur Kitchen']"
familymart,convenience_store,FAMILYMART @Jalan Putra,"Unit No 1.019B, First Floor, Sunway Putra Mall, 40, Jalan Putra, Chow Kit, 50350 Kuala Lumpur",3.166343,101.692082,Jalan Putra,"['Mac Cosmetics', 'Monki', 'SSF@Sunway Putra']"
