feature_name,feature_tag,name,Address,Latitude,Longitude,Location,Nearest(poi)
99speedmart,convenience_store,99SpeedMart @Dataran Sunway,"No. 8 & 10 (Ground Floor),  Jalan PJU 5/10,  47810 Petaling Jaya,Selangor Darul Ehsan.",3.151507,101.592967,Dataran Sunway,"['銘记粥品 Ming Kee Porridge Kota Damansara', 'Ikuzo Ramen', 'Happy Feet Reflexology']"
99speedmart,convenience_store,99SpeedMart @Old Town,"No.28, Jalan Pasar 1/21, 46000 Petaling Jaya, Selangor Darul Ehsan.",3.083887,101.645869,Old Town,"['Playground At Jalan 2/30A', 'HHLim Window Tint Specialist (Titan)', 'Kedai Lam Loong']"
99speedmart,convenience_store,99SpeedMart @Bukit Tinggi 2,"No.15 & 17 (G) ,Lorong Batu Nilam 34C ,Bandar Bukit Tinggi  41200 Klang, Selangor Darul Ehsan.",2.99912,101.431494,Bukit Tinggi 2,"['Burger King', 'Shell']"
99speedmart,convenience_store,99SpeedMart @Sri Manja,"No.11 & 13 (Ground Floor), Jalan PJS 3/48, Taman Sri Manja, 46000 Petaling Jaya, Selangor Darul Ehsan.",3.073388,101.64823,Sri Manja,"['UE Image Studio', 'Sri Manja Square', '19號茶餐室PJ 分行 One Nite Restaurant PJ Branch']"
99speedmart,convenience_store,99SpeedMart @Sultan Suleiman 1,"No. 107 (G) Lintang Sultan Mohamad 1B, Pusat Perdagangan Bandar Sultan Suleiman 42000 Pelabuhan Klang, Selangor Darul Ehsan.",3.018489,101.370201,Sultan Suleiman 1,"['Restoran Robiah De Cafe', 'Restoran NZ Corner']"
99speedmart,convenience_store,99SpeedMart @Centro Klang,"G 119 (G) ,Centro Mall ,No: 8 Jalan Batu Tiga Lama, 41300 Klang, Selangor Darul Ehsan.",3.051168,101.462943,Centro Klang,"[""D'serai"", 'SB Chettinad Curry House', 'Nan Yang Cottage']"
99speedmart,convenience_store,99SpeedMart @Puchong Indah,"No.23 & 25(Ground Floor),Jalan Indah 3/1,Taman Puchong Indah,47100 Puchong,Selangor Darul Ehsan.",3.012507,101.603579,Puchong Indah,"['Kedai Ani Sup Utara', 'Cleanpro Express - Puchong Indah', 'Nasi Kandar Seri Belanga']"
99speedmart,convenience_store,99SpeedMart @Ijok,"No: 10 & 12 (Groung Floor),  Jalan Ijok Utama 1,  Taman Ijok Utama,45600 Ijok, Batang Berjuntai,Selangor Darul Ehsan.",3.313769,101.411745,Ijok,"['Klinik Kapar', 'KFC', 'KFC Ijok']"
99speedmart,convenience_store,99SpeedMart @Puchong Kinrara,"No.4 & 6 & 8 (Ground Floor),Jalan Kinrara 4/5,Taman Kinrara 4,47100 Puchong ,Selangor Darul Ehsan.",3.064742,101.637556,Puchong Kinrara,"['MyMydin Taman Kinrara 4', 'Poliklinik Aramedic']"
99speedmart,convenience_store,99SpeedMart @Damai Perdana,"18 & 20(G),Jalan Damai Perdana 1/8A,Bandar Damai Perdana,56000 Cheras,Selangor Darul Ehsan",3.046931,101.739481,Damai Perdana,"['OK Mixed Rice & Cafe', 'Restoran Ali Food Corner']"
